pcr_id	sample_id	type	control_type
YW033P.1	BE124	sample	NA
YW033P.2	BE125	sample	NA
YW033P.3	BE126	sample	NA
YW033P.4	BE128	control	extraction
YW033P.5	BE129	sample	NA
YW033P.6	BE130	sample	NA
YW033P.7	BE131	sample	NA
YW033P.8	BE132	sample	NA
YW033P.9	BE133	sample	NA
YW033P.10	BE134	sample	NA
YW033P.11	BE135	sample	NA
YW033P.12	BE136	sample	NA
YW032P.1	BE124	sample	NA
YW032P.2	BE125	sample	NA
YW032P.3	BE126	sample	NA
YW032P.4	BE128	control	extraction
YW032P.5	BE129	sample	NA
YW032P.6	BE130	sample	NA
YW032P.7	BE131	sample	NA
YW032P.8	BE132	sample	NA
YW032P.9	BE133	sample	NA
YW032P.10	BE134	sample	NA
YW032P.11	BE135	sample	NA
YW032P.12	BE136	sample	NA
YW032P.13	BE137	sample	NA
YW032P.14	BE138	sample	NA
YW032P.15	BE139	control	extraction
YW032P.16	/	control	pcr
YW033P.13	BE137	sample	NA
YW033P.14	BE138	sample	NA
YW033P.15	BE139	control	extraction
YW033P.16	/	control	pcr
YW034P.1	BE124	sample	NA
YW034P.2	BE125	sample	NA
YW034P.3	BE126	sample	NA
YW034P.4	BE128	control	extraction
YW034P.5	BE129	sample	NA
YW034P.6	BE130	sample	NA
YW034P.7	BE131	sample	NA
YW034P.8	BE132	sample	NA
YW034P.9	BE133	sample	NA
YW034P.10	BE134	sample	NA
YW034P.11	BE135	sample	NA
YW034P.12	BE136	sample	NA
YW034P.13	BE137	sample	NA
YW034P.14	BE138	sample	NA
YW034P.15	BE139	control	extraction
YW034P.16	/	control	pcr
YW024P.24	/	control	pcr
YW024P.23	BE078	sample	NA
YW024P.22	BE077	sample	NA
YW024P.21	BE076	sample	NA
YW024P.20	BE075	sample	NA
YW024P.19	BE073	sample	NA
YW024P.18	BE072	sample	NA
YW024P.17	BE071	sample	NA
YW025P.8	BE086	sample	NA
YW025P.7	BE085	sample	NA
YW025P.6	BE084	sample	NA
YW025P.5	BE083	sample	NA
YW025P.4	BE082	sample	NA
YW025P.3	BE081	sample	NA
YW025P.2	BE080	sample	NA
YW025P.1	BE079	control	extraction
YW020P.8	BE043	sample	NA
YW020P.7	BE042	sample	NA
YW020P.6	BE041	sample	NA
YW020P.5	BE040	sample	NA
YW020P.4	BE039	sample	NA
YW020P.3	BE038	sample	NA
YW020P.2	BE037	sample	NA
YW020P.1	BE036	sample	NA
YW020P.9	BE046	control	extraction
YW021P.8	BE062	sample	NA
YW021P.7	BE061	sample	NA
YW021P.6	BE060	sample	NA
YW021P.5	BE059	sample	NA
YW021P.4	BE058	sample	NA
YW021P.3	BE057	sample	NA
YW021P.2	BE056	sample	NA
YW021P.1	BE055	sample	NA
YW021P.16	BE070	sample	NA
YW021P.15	BE069	sample	NA
YW021P.14	BE068	control	extraction
YW021P.13	BE067	sample	NA
YW021P.12	BE066	sample	NA
YW021P.11	BE065	sample	NA
YW021P.10	BE064	sample	NA
YW021P.9	BE063	sample	NA
YW021P.24	/	control	pcr
YW021P.23	BE078	sample	NA
YW021P.22	BE077	sample	NA
YW021P.21	BE076	sample	NA
YW021P.20	BE075	sample	NA
YW021P.19	BE073	sample	NA
YW021P.18	BE072	sample	NA
YW021P.17	BE071	sample	NA
YW022P.8	BE086	sample	NA
YW022P.7	BE085	sample	NA
YW022P.6	BE084	sample	NA
YW022P.5	BE083	sample	NA
YW022P.4	BE082	sample	NA
YW022P.3	BE081	sample	NA
YW022P.2	BE080	sample	NA
YW022P.1	BE079	control	extraction
YW022P.16	BE094	sample	NA
YW022P.15	BE093	sample	NA
YW022P.14	BE092	sample	NA
YW022P.13	BE091	sample	NA
YW022P.12	BE090	control	extraction
YW022P.11	BE089	sample	NA
YW022P.10	BE088	sample	NA
YW022P.9	BE087	sample	NA
YW022P.24	/	control	pcr
YW022P.23	BE101	control	extraction
YW022P.22	BE100	sample	NA
YW022P.21	BE099	sample	NA
YW022P.20	BE098	sample	NA
YW022P.19	BE097	sample	NA
YW022P.18	BE096	sample	NA
YW022P.17	BE095	sample	NA
YW023P.8	BE043	sample	NA
YW023P.7	BE042	sample	NA
YW023P.6	BE041	sample	NA
YW023P.5	BE040	sample	NA
YW023P.4	BE039	sample	NA
YW023P.3	BE038	sample	NA
YW023P.2	BE037	sample	NA
YW023P.1	BE036	sample	NA
YW023P.16	/	control	pcr
YW023P.15	BE054	sample	NA
YW023P.14	BE053	sample	NA
YW023P.13	BE051	sample	NA
YW023P.12	BE050	sample	NA
YW023P.11	BE048	sample	NA
YW023P.10	BE047	sample	NA
YW023P.9	BE046	control	extraction
YW024P.8	BE062	sample	NA
YW024P.7	BE061	sample	NA
YW024P.6	BE060	sample	NA
YW024P.5	BE059	sample	NA
YW024P.4	BE058	sample	NA
YW024P.3	BE057	sample	NA
YW024P.2	BE056	sample	NA
YW024P.1	BE055	sample	NA
YW024P.16	BE070	sample	NA
YW024P.15	BE069	sample	NA
YW024P.14	BE068	control	extraction
YW024P.13	BE067	sample	NA
YW024P.12	BE066	sample	NA
YW024P.11	BE065	sample	NA
YW024P.10	BE064	sample	NA
YW024P.9	BE063	sample	NA
YW020P.16	/	control	pcr
