pcr_id	sample_id	type	control_type
LG001P.1	BE036	sample	NA
LG001P.2	BE037	sample	NA
LG001P.3	BE038	sample	NA
LG001P.4	BE039	sample	NA
LG001P.5	BE040	sample	NA
LG001P.6	BE041	sample	NA
LG001P.7	BE042	sample	NA
LG001P.8	BE043	sample	NA
LG001P.10	BE045	sample	NA
LG001P.11	BE046	control	extraction
LG001P.12	BE047	sample	NA
LG001P.13	BE048	sample	NA
LG001P.14	BE049	sample	NA
LG001P.15	BE050	sample	NA
LG001P.16	BE051	sample	NA
LG002P.1	BE052	control	extraction
LG002P.2	BE053	sample	NA
LG002P.3	BE054	sample	NA
LG002P.4	BE055	sample	NA
LG002P.5	BE056	sample	NA
LG002P.6	BE057	sample	NA
LG002P.7	BE058	sample	NA
LG002P.8	BE059	sample	NA
LG002P.9	BE060	sample	NA
LG002P.10	BE061	sample	NA
LG002P.11	BE062	sample	NA
LG002P.12	BE063	sample	NA
LG002P.13	BE064	sample	NA
LG002P.14	BE065	sample	NA
LG002P.15	BE066	sample	NA
LG002P.16	BE067	sample	NA
LG003P.1	BE068	control	extraction
LG003P.2	BE069	sample	NA
LG003P.3	BE070	sample	NA
LG003P.4	BE071	sample	NA
LG003P.5	BE072	sample	NA
LG003P.6	BE073	sample	NA
LG003P.7	BE074	sample	NA
LG003P.8	BE075	sample	NA
LG003P.9	BE076	sample	NA
LG003P.10	BE077	sample	NA
LG003P.11	BE078	sample	NA
LG003P.12	BE079	control	extraction
LG003P.13	BE080	sample	NA
LG003P.14	BE081	sample	NA
LG003P.15	BE082	sample	NA
LG003P.16	BE083	sample	NA
LG006P.1	BE084	sample	NA
LG006P.2	BE085	sample	NA
LG006P.3	BE086	sample	NA
LG006P.4	BE087	sample	NA
LG006P.5	BE088	sample	NA
LG006P.6	BE089	sample	NA
LG006P.7	BE090	control	extraction
LG006P.8	BE091	sample	NA
LG006P.9	BE092	sample	NA
LG006P.10	BE093	sample	NA
LG006P.11	BE094	sample	NA
LG006P.12	BE095	sample	NA
LG006P.13	BE096	sample	NA
LG006P.14	BE097	sample	NA
LG006P.15	BE098	sample	NA
LG006P.16	BE099	sample	NA
LG005P.1	BE100	sample	NA
LG005P.2	BE101	control	extraction
LG005P.3	BE102	sample	NA
LG005P.4	BE103	sample	NA
LG005P.5	BE104	sample	NA
LG005P.6	BE105	sample	NA
LG005P.7	BE106	sample	NA
LG005P.8	BE107	sample	NA
LG005P.9	BE108	sample	NA
LG005P.10	BE109	sample	NA
LG005P.11	BE110	sample	NA
LG005P.12	BE111	sample	NA
LG005P.13	BE112	control	extraction
LG005P.14	BE113	sample	NA
LG005P.15	BE114	sample	NA
LG005P.16	BE115	sample	NA
LG005P.17	BE116	sample	NA
LG005P.18	BE117	sample	NA
LG005P.19	BE118	sample	NA
LG005P.20	BE119	sample	NA
LG005P.21	BE120	sample	NA
LG005P.22	BE121	sample	NA
LG005P.23	BE122	sample	NA
LG005P.24	BE123	control	extraction
LG008P.9	BE044	sample	NA
LG008P.10	BE045	sample	NA
LG008P.11	BE046	control	extraction
LG008P.12	BE047	sample	NA
LG008P.13	BE048	sample	NA
LG008P.14	BE049	sample	NA
LG008P.15	BE050	sample	NA
LG009P.1	BE052	control	extraction
LG009P.2	BE053	sample	NA
LG009P.3	BE054	sample	NA
LG009P.4	BE055	sample	NA
LG009P.5	BE056	sample	NA
LG009P.6	BE057	sample	NA
LG009P.7	BE058	sample	NA
LG009P.9	BE060	sample	NA
LG009P.10	BE061	sample	NA
LG009P.11	BE062	sample	NA
LG009P.12	BE063	sample	NA
LG009P.13	BE064	sample	NA
LG009P.14	BE065	sample	NA
LG009P.15	BE066	sample	NA
LG010P.1	BE068	control	extraction
LG010P.2	BE069	sample	NA
LG010P.3	BE070	sample	NA
LG010P.4	BE071	sample	NA
LG010P.5	BE072	sample	NA
LG010P.6	BE073	sample	NA
LG010P.7	BE074	sample	NA
LG010P.9	BE076	sample	NA
LG010P.10	BE077	sample	NA
LG010P.11	BE078	sample	NA
LG010P.12	BE079	control	extraction
LG010P.13	BE080	sample	NA
LG010P.14	BE081	sample	NA
LG010P.15	BE082	sample	NA
LG010P.16	BE083	sample	NA
LG011P.1	BE084	sample	NA
LG011P.2	BE085	sample	NA
LG011P.3	BE086	sample	NA
LG011P.4	BE087	sample	NA
LG011P.5	BE088	sample	NA
LG011P.6	BE089	sample	NA
LG011P.7	BE090	control	extraction
LG011P.9	BE092	sample	NA
LG011P.10	BE093	sample	NA
LG011P.11	BE094	sample	NA
LG011P.12	BE095	sample	NA
LG011P.13	BE096	sample	NA
LG011P.14	BE097	sample	NA
LG011P.15	BE098	sample	NA
LG012P.1	BE100	sample	NA
LG012P.2	BE101	control	extraction
LG012P.3	BE102	sample	NA
LG012P.4	BE103	sample	NA
LG012P.5	BE104	sample	NA
