pcr_id	sample_id	sediment	type	control_type
MS002P.1	BE036	BS19.1	sample	NA
MS002P.2	BE037	BS19.1	sample	NA
MS002P.3	BE038	BS19.8	sample	NA
MS002P.4	BE039	BS19.8	sample	NA
MS002P.5	BE040	BS19.13	sample	NA
MS002P.6	BE041	BS19.13	sample	NA
MS002P.7	BE042	BS19.17	sample	NA
MS002P.8	NTC	NA	control	pcr
MS004P.1	BE043	BS19.17	sample	NA
MS004P.2	BE044	BS19.22	sample	NA
MS004P.3	BE045	BS19.22	sample	NA
MS004P.4	BE046	NA	control	extraction
MS004P.5	BE047	BS19.37	sample	NA
MS004P.6	BE048	BS19.4	sample	NA
MS004P.7	BE049	BS19.43	sample	NA
MS004P.8	NTC	NA	control	pcr
MS005P.1	BE050	BS19.46	sample	NA
MS005P.2	BE051	BS19.51	sample	NA
MS005P.3	BE052	NA	control	extraction
MS005P.4	BE053	BS19.3	sample	NA
MS005P.5	BE054	BS19.35	sample	NA
MS005P.6	BE055	BS19.48	sample	NA
MS005P.7	BE056	BS19.55	sample	NA
MS005P.8	BE057	BS19.58	sample	NA
MS005P.9	BE058	BS19.37	sample	NA
MS005P.10	BE059	BS19.4	sample	NA
MS005P.11	BE060	BS19.43	sample	NA
MS005P.12	BE061	BS19.46	sample	NA
MS005P.13	BE062	BS19.51	sample	NA
MS005P.14	BE063	BS19.3	sample	NA
MS005P.15	BE064	BS19.35	sample	NA
MS005P.16	NTC	NA	control	pcr
MS006P.1	BE065	BS19.48	sample	NA
MS006P.2	BE066	BS19.55	sample	NA
MS006P.3	BE067	BS19.58	sample	NA
MS006P.4	BE068	NA	control	extraction
MS006P.5	BE069	BS19.27	sample	NA
MS006P.6	BE070	BS19.27	sample	NA
MS006P.7	BE071	BS19.33	sample	NA
MS006P.8	BE072	BS19.33	sample	NA
MS006P.9	BE073	BS19.42	sample	NA
MS006P.10	BE074	BS19.42	sample	NA
MS006P.11	BE075	BS19.49	sample	NA
MS006P.12	BE076	BS19.49	sample	NA
MS006P.13	BE077	BS19.6	sample	NA
MS006P.14	BE078	BS19.6	sample	NA
MS006P.15	BE079	NA	control	extraction
MS006P.16	NTC	NA	control	pcr
MS012P.1	BE080	BS19.7	sample	NA
MS012P.2	BE081	BS19.7	sample	NA
MS012P.3	BE082	BS19.15	sample	NA
MS012P.4	BE083	BS19.15	sample	NA
MS012P.5	BE084	BS19.18	sample	NA
MS012P.6	BE085	BS19.18	sample	NA
MS012P.7	BE086	BS19.45	sample	NA
MS012P.8	BE087	BS19.45	sample	NA
MS012P.9	BE088	BS19.52	sample	NA
MS012P.10	BE089	BS19.52	sample	NA
MS007P.9	BE090	NA	control	extraction
MS012P.11	BE091	BS19.21	sample	NA
MS012P.12	BE092	BS19.21	sample	NA
MS012P.13	BE093	BS19.24	sample	NA
MS012P.14	BE094	BS19.24	sample	NA
MS012P.15	BE095	BS19.62.1	sample	NA
MS012P.16	NTC	NA	control	pcr
MS013P.1	BE096	BS19.62.1	sample	NA
MS013P.2	BE097	BS19.65.1	sample	NA
MS013P.3	BE098	BS19.65.1	sample	NA
MS013P.4	BE099	BS19.68.1	sample	NA
MS013P.5	BE100	BS19.68.1	sample	NA
MS007P.10	BE101	NA	control	extraction
MS007P.11	NTC	NA	control	pcr
MS013P.6	BE102	BS19.2	sample	NA
MS013P.7	BE103	BS19.2	sample	NA
MS013P.8	BE104	BS19.4	sample	NA
MS013P.9	BE105	BS19.4	sample	NA
MS013P.10	BE106	BS19.9	sample	NA
MS013P.11	BE107	BS19.9	sample	NA
MS013P.12	BE108	BS19.1	sample	NA
MS013P.13	BE109	BS19.1	sample	NA
