pcr_id	sample_id	type	control_type
YW017P.1	BE116	sample	NA
YW017P.2	BE117	sample	NA
YW017P.3	BE118	sample	NA
YW017P.4	BE119	sample	NA
YW017P.5	BE120	sample	NA
YW017P.6	BE121	sample	NA
YW017P.9	BE051	sample	NA
YW017P.10	BE052	control	extraction
YW017P.11	BE053	sample	NA
YW017P.12	BE054	sample	NA
YW017P.13	BE055	sample	NA
YW017P.14	BE056	sample	NA
YW017P.15	BE057	sample	NA
YW017P.16	BE058	sample	NA
YW017P.17	BE059	sample	NA
YW017P.18	BE060	sample	NA
YW017P.19	BE061	sample	NA
YW017P.20	BE062	sample	NA
YW017P.21	BE063	sample	NA
YW017P.22	BE064	sample	NA
YW017P.23	BE065	sample	NA
YW017P.24	/	control	pcr
YW018P.1	BE096	sample	NA
YW018P.2	BE097	sample	NA
YW018P.3	BE098	sample	NA
YW018P.4	BE099	sample	NA
YW018P.5	BE100	sample	NA
YW018P.6	BE101	control	extraction
YW018P.7	BE102	sample	NA
YW018P.8	BE103	sample	NA
YW018P.9	BE104	sample	NA
YW018P.10	BE105	sample	NA
YW018P.11	BE106	sample	NA
YW018P.12	BE107	sample	NA
YW018P.13	BE108	sample	NA
YW018P.14	BE109	sample	NA
YW018P.15	BE110	sample	NA
YW018P.16	/	control	pcr
YW019P.1	BE036	sample	NA
YW019P.2	BE037	sample	NA
YW019P.3	BE038	sample	NA
YW019P.4	BE039	sample	NA
YW019P.5	BE040	sample	NA
YW019P.6	BE041	sample	NA
YW019P.7	BE042	sample	NA
YW019P.8	BE043	sample	NA
YW019P.9	BE044	sample	NA
YW019P.10	BE045	sample	NA
YW019P.11	BE046	control	extraction
YW019P.12	BE047	sample	NA
YW019P.13	BE048	sample	NA
YW019P.14	BE049	sample	NA
YW019P.15	BE050	sample	NA
YW019P.16	/	control	pcr
YW035P.1	BE066	sample	NA
YW035P.2	BE067	sample	NA
YW035P.3	BE068	control	extraction
YW035P.4	BE069	sample	NA
YW035P.5	BE070	sample	NA
YW035P.6	BE071	sample	NA
YW035P.7	BE072	sample	NA
YW035P.8	BE073	sample	NA
YW035P.9	BE074	sample	NA
YW035P.10	BE075	sample	NA
YW035P.11	BE076	sample	NA
YW035P.12	BE077	sample	NA
YW035P.13	BE078	sample	NA
YW035P.14	BE079	control	extraction
YW035P.15	BE080	sample	NA
YW035P.16	/	control	pcr
YW036P.1	BE081	sample	NA
YW036P.2	BE082	sample	NA
YW036P.3	BE083	sample	NA
YW036P.4	BE084	sample	NA
YW036P.5	BE085	sample	NA
YW036P.6	BE086	sample	NA
YW036P.7	BE087	sample	NA
YW036P.8	BE088	sample	NA
YW036P.9	BE089	sample	NA
YW036P.10	BE090	control	extraction
YW036P.11	BE091	sample	NA
YW036P.12	BE092	sample	NA
YW036P.13	BE093	sample	NA
YW036P.14	BE094	sample	NA
YW036P.15	BE095	sample	NA
YW036P.16	/	control	pcr
YW037P.1	BE111	sample	NA
YW037P.2	BE112	control	extraction
YW037P.3	BE113	sample	NA
YW037P.4	BE114	sample	NA
YW037P.5	BE115	sample	NA
YW037P.6	BE116	sample	NA
YW037P.7	BE117	sample	NA
YW037P.8	BE118	sample	NA
YW037P.9	BE119	sample	NA
YW037P.10	BE120	sample	NA
YW037P.11	BE121	sample	NA
YW037P.12	BE122	sample	NA
YW037P.13	BE123	control	extraction
YW037P.14	BE124	sample	NA
YW037P.15	BE125	sample	NA
YW037P.16	BE126	sample	NA
YW037P.17	BE128	control	extraction
YW037P.18	BE129	sample	NA
YW037P.19	BE130	sample	NA
YW037P.20	BE131	sample	NA
YW037P.21	BE132	sample	NA
YW037P.22	BE133	sample	NA
YW037P.23	BE134	sample	NA
YW037P.24	/	control	pcr
YW038P.1	BE135	sample	NA
YW038P.2	BE136	sample	NA
YW038P.3	BE137	sample	NA
YW038P.4	BE138	sample	NA
YW038P.5	BE139	control	extraction
YW038P.6	BE036	sample	NA
YW038P.7	BE037	sample	NA
YW038P.8	BE038	sample	NA
YW038P.9	BE039	sample	NA
YW038P.10	BE040	sample	NA
YW038P.11	BE041	sample	NA
YW038P.12	BE042	sample	NA
YW038P.13	BE043	sample	NA
YW038P.14	BE044	sample	NA
YW038P.15	BE045	sample	NA
YW038P.16	BE046	control	extraction
YW038P.17	BE047	sample	NA
YW038P.18	BE048	sample	NA
YW038P.19	BE049	sample	NA
YW038P.20	BE050	sample	NA
YW038P.21	BE051	sample	NA
YW038P.22	BE052	control	extraction
YW038P.23	BE053	sample	NA
YW038P.24	/	control	pcr
YW045P.1	BE077	sample	NA
YW045P.2	BE078	sample	NA
YW045P.3	BE079	control	extraction
YW045P.4	BE080	sample	NA
YW045P.5	BE081	sample	NA
YW045P.6	BE082	sample	NA
YW045P.7	BE083	sample	NA
YW045P.8	BE084	sample	NA
YW045P.9	BE085	sample	NA
YW045P.10	BE086	sample	NA
YW045P.11	BE087	sample	NA
YW045P.12	BE088	sample	NA
YW045P.13	BE089	sample	NA
YW045P.14	BE090	control	extraction
YW045P.15	BE091	sample	NA
YW045P.16	BE092	sample	NA
YW045P.17	BE093	sample	NA
YW045P.18	BE094	sample	NA
YW045P.19	BE095	sample	NA
YW045P.20	BE096	sample	NA
YW045P.21	BE097	sample	NA
YW045P.22	BE098	sample	NA
YW045P.23	BE099	sample	NA
YW045P.24	/	control	pcr
YW056P.25	BE054	sample	NA
YW046P.2	BE055	sample	NA
YW046P.3	BE056	sample	NA
YW046P.4	BE057	sample	NA
YW046P.5	BE058	sample	NA
YW046P.6	BE059	sample	NA
YW046P.7	BE060	sample	NA
YW046P.8	BE061	sample	NA
YW046P.9	BE062	sample	NA
YW046P.10	BE063	sample	NA
YW046P.11	BE064	sample	NA
YW046P.12	BE065	sample	NA
YW046P.13	BE066	sample	NA
YW046P.14	BE067	sample	NA
YW046P.15	BE068	control	extraction
YW046P.16	BE069	sample	NA
YW046P.17	BE070	sample	NA
YW046P.18	BE071	sample	NA
YW046P.19	BE072	sample	NA
YW046P.20	BE073	sample	NA
YW046P.21	BE074	sample	NA
YW046P.22	BE075	sample	NA
YW046P.23	BE076	sample	NA
YW046P.24	/	control	pcr
YW048P.1	BE100	sample	NA
YW048P.2	BE101	control	extraction
YW048P.3	BE102	sample	NA
YW048P.4	BE103	sample	NA
YW048P.5	BE104	sample	NA
YW048P.6	BE105	sample	NA
YW048P.7	BE106	sample	NA
