sample_id	sediment	water_depth	UTM-32T-E	UTM-32T-N	long	lat	site
BE036	BS19.01	187	538336	5268402	9.509677551	47.56790206	S07
BE037	BS19.01	187	538336	5268402	9.509677551	47.56790206	S07
BE038	BS19.08	151	539199	5264303	9.520785177	47.53096965	S06
BE039	BS19.08	151	539199	5264303	9.520785177	47.53096965	S06
BE040	BS19.13	150	542750	5266009	9.568126116	47.54609541	S05
BE041	BS19.13	150	542750	5266009	9.568126116	47.54609541	S05
BE042	BS19.17	100	546137	5267693	9.613311859	47.5610152	S03
BE043	BS19.17	100	546137	5267693	9.613311859	47.5610152	S03
BE044	BS19.22	61	554397	5263237	9.722554903	47.52028403	S01
BE045	BS19.22	61	554397	5263237	9.722554903	47.52028403	S01
BE047	BS19.37	46	530146	5278135	9.401464208	47.65590763	S12
BE048	BS19.40	214	521888	5278327	9.291501063	47.65796727	S17
BE049	BS19.43	175	519168	5281086	9.255397998	47.68287801	S19
BE050	BS19.46	161	519800	5281772	9.263849919	47.6890313	S18
BE051	BS19.51	100	517837	5279341	9.237592387	47.66721526	S20
BE053	BS19.30	155	527723	5273858	9.368926053	47.61753338	S15
BE054	BS19.35	252	528225	5274651	9.375657422	47.62464679	S14
BE055	BS19.48	124	515925	5278377	9.212089222	47.65859143	S22
BE056	BS19.55	50	516418	5277492	9.218621711	47.65061617	S21
BE057	BS19.58	192	533788	5273347	9.449594782	47.61264771	S10
BE058	BS19.37	46	530146	5278135	9.401464208	47.65590763	S12
BE059	BS19.40	214	521888	5278327	9.291501063	47.65796727	S17
BE060	BS19.43	175	519168	5281086	9.255397998	47.68287801	S19
BE061	BS19.46	161	519800	5281772	9.263849919	47.6890313	S18
BE062	BS19.51	100	517837	5279341	9.237592387	47.66721526	S20
BE063	BS19.30	155	527723	5273858	9.368926053	47.61753338	S15
BE064	BS19.35	252	528225	5274651	9.375657422	47.62464679	S14
BE065	BS19.48	124	515925	5278377	9.212089222	47.65859143	S22
BE066	BS19.55	50	516418	5277492	9.218621711	47.65061617	S21
BE067	BS19.58	192	533788	5273347	9.449594782	47.61264771	S10
BE069	BS19.27	179	528802	5275993	9.38342507	47.63669612	S13
BE070	BS19.27	179	528802	5275993	9.38342507	47.63669612	S13
BE071	BS19.33	47	526349	5271179	9.350480745	47.59348605	S16
BE072	BS19.33	47	526349	5271179	9.350480745	47.59348605	S16
BE073	BS19.42	175	519168	5281086	9.255397998	47.68287801	S19
BE074	BS19.42	175	519168	5281086	9.255397998	47.68287801	S19
BE075	BS19.49	124	515925	5278377	9.212089222	47.65859143	S22
BE076	BS19.49	124	515925	5278377	9.212089222	47.65859143	S22
BE077	BS19.60	221	535945	5270280	9.478044132	47.58493628	S09
BE078	BS19.60	221	535945	5270280	9.478044132	47.58493628	S09
BE080	BS19.07	128	536034	5262598	9.478598039	47.51581193	S08
BE081	BS19.07	128	536034	5262598	9.478598039	47.51581193	S08
BE082	BS19.15	142	544924	5267105	9.597127916	47.55580982	S04
BE083	BS19.15	142	544924	5267105	9.597127916	47.55580982	S04
BE084	BS19.18	60	551588	5263196	9.685240999	47.52014415	S02
BE085	BS19.18	60	551588	5263196	9.685240999	47.52014415	S02
BE086	BS19.45	161	519800	5281772	9.263849919	47.6890313	S18
BE087	BS19.45	161	519800	5281772	9.263849919	47.6890313	S18
BE088	BS19.52	100	517837	5279341	9.237592387	47.66721526	S20
BE089	BS19.52	100	517837	5279341	9.237592387	47.66721526	S20
BE091	BS19.21	61	554397	5263237	9.722554903	47.52028403	S01
BE092	BS19.21	61	554397	5263237	9.722554903	47.52028403	S01
BE093	BS19.24	221	535907	5270353	9.47754475	47.58559521	S09
BE094	BS19.24	221	535907	5270353	9.47754475	47.58559521	S09
BE095	BS19.62	143	544952	5267120	9.597501604	47.55594284	S04
BE096	BS19.62	143	544952	5267120	9.597501604	47.55594284	S04
BE097	BS19.65	149	533028	5274778	9.439590184	47.62556235	S11
BE098	BS19.65	149	533028	5274778	9.439590184	47.62556235	S11
BE099	BS19.68	149	533033	5274799	9.439658314	47.62575104	S11
BE100	BS19.68	149	533033	5274799	9.439658314	47.62575104	S11
BE102	BS19.02	187	538336	5268402	9.509677551	47.56790206	S07
BE103	BS19.02	187	538336	5268402	9.509677551	47.56790206	S07
BE104	BS19.04	128	536067	5262640	9.479039763	47.516188	S08
BE105	BS19.04	128	536067	5262640	9.479039763	47.516188	S08
BE106	BS19.09	151	539188	5264295	9.520638328	47.53089833	S06
BE107	BS19.09	151	539188	5264295	9.520638328	47.53089833	S06
BE108	BS19.10	151	539188	5264295	9.520638328	47.53089833	S06
BE109	BS19.10	151	539188	5264295	9.520638328	47.53089833	S06
BE110	BS19.12	150	542750	5266009	9.568126116	47.54609541	S05
BE111	BS19.12	150	542750	5266009	9.568126116	47.54609541	S05
BE113	BS19.26	179	528802	5275993	9.38342507	47.63669612	S13
BE114	BS19.26	179	528802	5275993	9.38342507	47.63669612	S13
BE115	BS19.28	155	527723	5273858	9.368926053	47.61753338	S15
BE116	BS19.28	155	527723	5273858	9.368926053	47.61753338	S15
BE117	BS19.31	47	526349	5271179	9.350480745	47.59348605	S16
