site	water_depth	UTM.32T.E	UTM.32T.N	long	lat
S01	61	554397	5263237	9.722554903	47.52028403
S02	60	551588	5263196	9.685240999	47.52014415
S03	100	546137	5267693	9.613311859	47.5610152
S04	143	544952	5267120	9.597501604	47.55594284
S05	150	542750	5266009	9.568126116	47.54609541
S06	151	539199	5264303	9.520785177	47.53096965
S07	187	538336	5268402	9.509677551	47.56790206
S08	128	536067	5262640	9.479039763	47.516188
S09	221	535945	5270280	9.478044132	47.58493628
S10	192	533788	5273347	9.449594782	47.61264771
S11	149	533033	5274799	9.439658314	47.62575104
S12	46	530146	5278135	9.401464208	47.65590763
S13	179	528802	5275993	9.38342507	47.63669612
S14	252	528225	5274651	9.375657422	47.62464679
S15	155	527723	5273858	9.368926053	47.61753338
S16	47	526349	5271179	9.350480745	47.59348605
S17	214	521888	5278327	9.291501063	47.65796727
S18	161	519800	5281772	9.263849919	47.6890313
S19	175	519168	5281086	9.255397998	47.68287801
S20	100	517837	5279341	9.237592387	47.66721526
S21	50	516418	5277492	9.218621711	47.65061617
S22	124	515925	5284375	9.212308	47.712559
S23	111	514180	5287139	9.189134342	47.73746913
S24	145	510064	5289791	9.134296257	47.761408
S25	76	505250	5293808	9.070105814	47.79760825
