KERN	UTM.32T.E	UTM.32T.N	Wassergehalt	Sand	Mud	VCoarseSand	CoarseSand	MediumSand	FineSand	VFineSand	VCoarseSilt	CoarseSilt	MediumSilt	FineSilt	VFineSilt	Clay	mode1_um	obscuration	GoodnessofFit	Kies	Mu8.9	Chl6.2	Qz20.9	Qz-Mu26.6	Cc29.5	Fsp-Mu27.8	Dol31.0	C-N-ratio	TC	TN	TOC	TS	TIC
BS19.03	538336	5268402	71.06	2.19188641	97.80811358	0	0	0.00112678	0.54745183	1.64330779	6.07206712	11.22866024	17.61567432	21.73196967	18.09182641	23.06791579	5.49105	18.1	0.53	0	3803.19	3062.36	7672.31	45875.85	51160.57	2400.77	8915.26	4.94230769	6.5135	0.442	2.1845	0.0305	4.329
BS19.05	536067	5262640	72.13	0.66774352	99.33225647	0	0	0	0.03230916	0.63543435	1.96161294	5.38208508	12.81499706	20.19310102	22.12087363	36.85958671	3.270815	18.7	0.5	0	3239.68	2482.35	6033.63	34902.89	61572.62	2246.77	5466.43	4.78188319	6.9435	0.4195	2.006	0.0475	4.9375
BS19.11	539188	5264295	73.47	0.58648914	99.41351085	0	0	0	0.03487279	0.55161634	5.69691456	9.61832302	13.77348642	20.59643792	20.74879217	28.97955674	3.887365	18	0.57	0	3449.94	2801.46	6037.73	35406.24	56673.3	1824.98	5924.05	4.4049261	6.9705	0.5075	2.2355	0.0345	4.735
BS19.14	542750	5266009	68.01	1.1945767	98.80542329	0	0	0	0.29020109	0.9043756	1.8667476	6.94969839	18.22369578	25.58581581	21.61008564	24.56938005	5.183885	17.2	0.56	0	4573.46	4281.41	6960.31	42715.44	50967.75	2302.77	6494.33	4.22277432	6.084	0.4025	1.69966667	0.0435	4.38433333
BS19.16	544924	5267105	49.42	3.22203619	96.7779638	0	0	0	0.12649362	3.09554257	10.27812787	17.73272735	24.38102737	20.48377783	12.37614386	11.52615949	10.3432	16.4	0.56	0	10922.58	12280.38	8874.16	52419.91	52348.44	4095.05	11441.16	4.46019417	5.547	0.2575	1.1485	0.0495	4.3985
BS19.20	551588	5263196	40.69	7.49791942	92.50208057	0	0	0.065076	1.95598096	5.47686246	14.83573551	19.33727972	18.89944774	15.56929262	11.11716979	12.74315517	15.4759	16	0.38	0	4039.67	3443.09	12826.5	70591.03	56183.67	3245.18	20548.73	6.6	5.703	0.19	1.254	0.072	4.449
BS19.23	554397	5263237	57.16	0.59097445	99.40902554	0	0	0	0.07003889	0.52093556	2.53613583	7.31096505	16.42308348	23.58595678	21.41606662	28.13681775	4.62014	17.5	0.56	0	2449.47	2367.69	9563.46	53482.89	40324.38	1728.12	3667.54	4.864620939	4.9275	0.277	1.3475	0.052	3.58
BS19.25	528802	5275993	72.04	0.00781445	99.99218554	0	0	0	0	0.00781445	1.99855429	6.05313694	12.4854087	23.30730705	24.3933381	31.75444043	3.66991	17.1	0.58	0	8107.1		6149.18	36162.77	50388.96	2773.98		4.584615385	5.96625	0.39	1.788	0.03775	4.17825
BS19.29	527723	5273858	73.01	1.45371653	98.54628346	0	0	0	0.26565287	1.18806366	1.8076904	4.39372876	11.52604688	20.89063197	23.50508599	36.42309942	3.270815	18	0.55	0	4817.84	3571.94	5133	31418.34	70282.93	1987.47		4.388601036	6.7975	0.386	1.694	0.0395	5.1035
BS19.32	526349	5271179	72.85	3.49708656	96.50291343	0	0	0	1.04286476	2.45422179	6.75396603	9.7187002	10.7501554	16.97039467	20.33366044	31.97603667	3.087845	16.8	0.47	0	1586.03	931.36	3567.62	20310.23	76711.57	963.44	2044.98	4.40248566	8.7695	0.523	2.3025	0.0495	6.467
BS19.38	530146	5278135	67.86	3.17067597	96.82932402	0	0	0	0.99346836	2.17720761	1.92336924	4.56933052	14.58972391	24.25072927	22.54844408	28.94772698	4.361695	18.1	0.6	0	9952.4	6841.88	7439.07	43695.87	52219.62	3337.15	6145.86	4.319178082	5.856	0.365	1.5765	0.025	4.2795
BS19.41	521888	5278327	71.02	2.35060303	97.64939696	0	0	0	0.63844736	1.71215567	2.43845605	5.80454422	13.49924557	21.8018233	22.7267202	31.37860759	3.66991	16.6	0.58	0	5964.2	4222.2	5979.58	35498.84	55047.25	2545.41	4320.39	4.10807601	6.0095	0.421	1.7295	0.0315	4.28
BS19.44	519168	5281086	72.34	4.08793338	95.91206661	0	0	0	1.56343274	2.52450063	3.2442174	6.41035697	12.39776686	20.37814846	22.15472209	31.32685481	3.46462	17.5	0.49	0	3393	2662.18	5753.84	32903.77	57590.78	1970.88	3410.75	4.399570354	6.7795	0.4655	2.048	0.0445	4.7315
BS19.47	519800	5281772	72.28	3.50158596	96.49841403	0	0	0.00446606	1.62298076	1.87413912	6.89505551	10.62517088	13.53711577	19.30985573	19.56139971	26.56981641	3.887365	17.5	0.54	0	9272.2	5819.47	5863.3	30157.62	53553.13	2681.1		4.595791805	6.294	0.4515	2.075	0.0345	4.219
BS19.50	515925	5278377	75.07	5.66058772	94.33941227	0	0	0.052851	2.65213852	2.95559819	7.14228646	10.39952896	13.7217188	18.54760218	18.97930178	25.54897407	3.66991	16.9	0.44	0	4761.84	3044.66	5673.94	33359.09	59767	2260.5	3606.33	4.506097561	6.7585	0.492	2.217	0.041	4.5415
BS19.53	517837	5279341	74.12	4.53111818	95.46888181	0	0	0	1.46676364	3.06435454	6.4249451	9.44855848	12.4200072	19.13063286	20.52398209	27.52075605	3.46462	15.4	0.44	0	3079.33	2205.21	4895.32	28285.48	68321.29	1660.39	3228.96	4.48860528	7.747	0.5485	2.462	0.04	5.285
BS19.56	516418	5277492	66.99	1.47170313	98.52829686	0	0	0	0.25938072	1.21232241	3.49458136	7.48763731	12.82680902	19.81288357	21.59066826	33.31571731	3.46462	16.8	0.42	0	1777.05	1204.85	4367.3	22199.54	85480.13	1656.51		4.32932469	9.222	0.5405	2.34	0.053	6.882
BS19.59	533788	5273347	69.06	2.96062171	97.03937828	0	0	0	1.07531885	1.88530286	5.67005709	11.01198508	17.65696613	21.87534252	18.82925409	21.99577334	5.183885	16.5	0.44	0	8493.12	6924.3	7177.1	41786.55	52301.58	2934.83	6590.69	4.44742729	6.076	0.447	1.988	0.025	4.088
BS19.63	546140	5267710	43.8	1.13951253	98.86048746	0	0	0.0001274	0.01590053	1.12348458	7.52932652	18.53068936	26.99039946	21.46342745	12.4300417	11.91660295	10.3432	16.1	0.52	0	11428.8	14942.04	10525.08	61411.67	53934.94	4016.19	16362.36	4.6	5.1955	0.2225	1.0235	0.044	4.172
BS19.64	535983	5270300	71.35	3.28792793	96.71207206	0	0	0.00244259	1.32169317	1.96379215	6.60768094	11.73837147	18.08841235	21.54585041	17.23247753	21.49927934	5.816415	16.3	0.53	0	3524.89	3067.44	6452.34	35837.85	50629.77	1849.04	4842.17	4.52465483	6.85866666	0.507	2.294	0.04166666	4.56466666
BS19.69	533033	5274799	66.9	1.11094055	98.88905944	0	0	0	0.32916543	0.78177511	5.19244269	10.52079435	18.07269171	23.00874186	19.03822548	23.05616332	5.49105	16.7	0.56	0	5902.49	4810.1	7762.21	44380.36	49447.2	2856.89	4728.35	4.27645051	5.98	0.4395	1.8795	0.03	4.1005
BS19.72	528282	5274587	72.9	1.97386	98.02613999	0	0	0	0.73432293	1.23953707	6.62081211	9.74264934	14.66100468	21.53618634	20.0290855	25.43640198	4.361695	18.3	0.56	0	9699.06	9246.44	7841.43	44885.74	44715.76	3623.76	8871.27	4.37739656	6.3515	0.4955	2.169	0.0325	4.1825
