species_name	growth_form
Aconitum racemulosum	herb
Aegiphila hassleri	shrub
Alchemilla rutenbergii	herb
Anemone hepatica	herb
Anthyllis montana	herb
Athyrium sinense	fern
Avena macrostachya	graminoid
Baccharis leptospermoides	shrub
Barclaya longifolia	herb
Berberis aristata	shrub
Berberis japonica	shrub
Brunfelsia portoricensis	shrub/tree
Caiophora arechavaletae	herb
Caltha gracilis	herb
Cephalosorus carpesioides	herb
Cerastium maximum	herb
Chrysosplenium wrightii	herb
Cissus tweediana	vine
Dendropanax hainanensis	shrub/tree
Euonymus nitidus	shrub/tree
Euphorbia calyptrata	herb
Ficaria verna	herb
Fontanesia phillyreoides	shrub
Galium bungei	herb
Hedysarum consanguineum	herb
Fitchia speciosa	tree
Heterosperma nanum	herb
Hippocrepis emerus	shrub
Huidobria chilensis	shurb
Huidobria fruticosa	shrub
Sumbaviopsis albicans	tree
Impatiens delavayi	herb
Vaccinium fragile	shrub
Tamarix chinensis	tree/shrub
Jasminum nudiflorum	shrub
Schismocarpus pachypus	shrub
Kalmia procumbens	shrub
Indigofera tinctoria	shrub
Trifolium caucasicum	shrub
Leucheria amoena	shrub
Potentilla stenophylla	herb
Leucomphalos mildbraedii	shrub
Lobelia galpinii	shrub
Aconitum tanguticum	herb
Griselinia jodinifolia	tree
Sutera hispida	shrub
Lomelosia brachiata	herb
Loasa heterophylla	herb
Lomelosia cretica	herb
Lycianthes rantonnei	shrub
Orcuttia pilosa	graminoid
Monopteryx inpae	tree
Berberis fortunei	shrub
Hyssopus seravschanicus	herb
Paeonia obovata	herb
Paracryphia alticola	shrub/tree
Gratiola brevifolia	herb
Loasa tricolor	herb
Passiflora incarnata	vine
Pedicularis ascendens	herb
Acer pycnanthum	tree
Corchorus sulcatus	shrub
Picea neoveitchii	tree
Ranunculus ficariifolius	herb
Arctotis arctotoides	herb
Arctotis breviscapa	herb
Pedicularis parviflora	herb
Peucedanum elegans	herb
Philadelphus calvescens	shrub
Philadelphus pekinensis	shrub
Chersodoma jodopappa	shrub
Lipandra polysperma	herb
Swartzia sericea	tree
Electranthera mutica	shrub/tree
Leucanthemella linearis	herb
Photinia loriformis	shrub
Phyllodoce nipponica	shrub
Platyspermation crassifolium	herb
Plectranthus agnewii	herb
Pleurospermum wrightianum	herb
Cephalaria tenella	herb
Plocama yemenensis	shrub
Poa ligulata	herb
Poranopsis paniculata	shrub
Potamogeton octandrus	herb
Prunus oblonga	tree
Camellia gymnogyna	shrub/tree
Pteroxygonum denticulatum	shrub
Zabelia umbellata	shrub
Rhamnus crenata	shrub
Rourea brachyandra	shrub
Rubus boninensis	shrub
Salvia atropatana	herb
Saussurea przewalskii	herb
Saxifraga aspera	herb
Saxifraga berica	shrub
Taraxacum coreanum	herb
Acilepis attenuata	herb
Kurziella gymnoclada	herb
Dampiera wellsiana	herb
Saxifraga callosa	shrub
Saxifraga kotschyi	shrub
Saxifraga lingulata	shrub
Saxifraga taygetea	shrub
Sinopanax formosanus	tree
Stuckenia pectinata	herb
Tauschia texana	herb
Torricellia tiliifolia	shrub/tree
Trachydium variabile	herb
Trifolium isthmocarpum	herb
Triptilion spinosum	herb
Vaccinium boninense	shrub
Valeriana alliariifolia	herb
Valeriana elongata	herb
Vandasina retusa	vine
Ventia lanceolata	shrub
Vernonia cordata	NA
Veronica aphylla	herb
Veronica cusickii	herb
Viburnum plicatum	shrub
Viola brevistipulata	herb
