Nr. SISF,Rangstufe,Taxonname,Gattung,Spezies,Familie,Indigenat CH,Grenzgebiet,Ist Teil von: Taxonname,Ist Teil von: Nr. SISF
100,sp,Abies alba Mill.,Abies,alba,Pinaceae,I,,,
130,sp,Abies nordmanniana (Steven) Spach,Abies,nordmanniana,Pinaceae,NC,,,
150,sp,Abutilon theophrasti Medik.,Abutilon,theophrasti,Malvaceae,N,,,
160,sp,Acacia dealbata Link,Acacia,dealbata,Fabaceae,N,,,
180,sp,Acalypha australis L.,Acalypha,australis,Euphorbiaceae,N,,,
200,sp,Acalypha virginica L.,Acalypha,virginica,Euphorbiaceae,N,,,
250,sp,Acanthus mollis L.,Acanthus,mollis,Acanthaceae,NC,,,
300,sp,Acer campestre L.,Acer,campestre,Sapindaceae,I,,,
400,sp,Acer monspessulanum L.,Acer,monspessulanum,Sapindaceae,NC,,,
500,sp,Acer negundo L.,Acer,negundo,Sapindaceae,N,,,
600,sp,Acer opalus Mill.,Acer,opalus,Sapindaceae,I,,,
700,sp,Acer platanoides L.,Acer,platanoides,Sapindaceae,I,,,
800,sp,Acer pseudoplatanus L.,Acer,pseudoplatanus,Sapindaceae,I,,,
850,sp,Acer saccharinum L.,Acer,saccharinum,Sapindaceae,N,,,
900,sp,Aceras anthropophorum (L.) W. T. Aiton,Aceras,anthropophorum,Orchidaceae,I,,,
950,sp,Achillea ageratum L.,Achillea,ageratum,Asteraceae,N,,,
1000,sp,Achillea atrata L.,Achillea,atrata,Asteraceae,I,,,
1100,sp,Achillea clavenae L.,Achillea,clavenae,Asteraceae,I,,,
1200,sp,Achillea collina Rchb.,Achillea,collina,Asteraceae,I,,Achillea millefolium aggr.,1706
1250,sp,Achillea crithmifolia Waldst. & Kit.,Achillea,crithmifolia,Asteraceae,N,,,
1300,sp,Achillea distans Willd.,Achillea,distans,Asteraceae,,x,Achillea millefolium aggr.,1706
1350,sp,Achillea erba-rotta All.,Achillea,erba-rotta,Asteraceae,I,,,
1400,subsp,Achillea erba-rotta All. subsp. erba-rotta,Achillea,erba-rotta,Asteraceae,,x,Achillea erba-rotta All.,1350
1500,subsp,Achillea erba-rotta subsp. moschata (Wulfen) Vacc.,Achillea,erba-rotta,Asteraceae,I,,Achillea erba-rotta All.,1350
1550,sp,Achillea filipendulina Lam.,Achillea,filipendulina,Asteraceae,N,,,
1600,sp,Achillea macrophylla L.,Achillea,macrophylla,Asteraceae,I,,,
1700,sp,Achillea millefolium L.,Achillea,millefolium,Asteraceae,I,,Achillea millefolium aggr.,1706
1701,subsp,Achillea millefolium L. subsp. millefolium,Achillea,millefolium,Asteraceae,I,,Achillea millefolium L.,1700
1702,subsp,Achillea millefolium subsp. sudetica (Opiz) J. Weiss,Achillea,millefolium,Asteraceae,I,,Achillea millefolium L.,1700
1706,aggr,Achillea millefolium aggr.,Achillea,millefolium,Asteraceae,I,,,
