TAXID	SCIENTIFIC_NAME	family_name	genus_name	species_name	PlantGrowthForm	aquatic	alpine	info_flora	cultivated
2711	Citrus sinensis	Rutaceae	Citrus	Citrus sinensis	tree	NA	FALSE	FALSE	T
3277	Matteuccia struthiopteris	Onocleaceae	Matteuccia	Matteuccia struthiopteris	fern	NA	FALSE	TRUE	FALSE
3311	Ginkgo biloba	Ginkgoaceae	Ginkgo	Ginkgo biloba	tree	NA	FALSE	FALSE	T
3322	Cedrus deodara	Pinaceae	Cedrus	Cedrus deodara	tree	NA	FALSE	FALSE	T
3469	Papaver somniferum	Papaveraceae	Papaver	Papaver somniferum	herb	NA	FALSE	TRUE	TRUE
3483	Cannabis sativa	Cannabaceae	Cannabis	Cannabis sativa	herb	NA	FALSE	TRUE	T
3641	Theobroma cacao	Malvaceae	Theobroma	Theobroma cacao	tree	NA	FALSE	FALSE	T
3847	Glycine max	Fabaceae	Glycine	Glycine max	herb	NA	FALSE	TRUE	TRUE
3855	Lathyrus clymenum	Fabaceae	Lathyrus	Lathyrus clymenum	herb	NA	FALSE	FALSE	NA
3885	Phaseolus vulgaris	Fabaceae	Phaseolus	Phaseolus vulgaris	herb	NA	FALSE	TRUE	TRUE
3899	Trifolium repens	Fabaceae	Trifolium	Trifolium repens	herb	NA	FALSE	TRUE	FALSE
3906	Vicia faba	Fabaceae	Vicia	Vicia faba	herb	NA	FALSE	TRUE	TRUE
3972	Viscum album	Viscaceae	Viscum	Viscum album	shrub	NA	FALSE	TRUE	FALSE
3988	Ricinus communis	Euphorbiaceae	Ricinus	Ricinus communis	shrub/tree	NA	FALSE	FALSE	T
4024	Acer saccharum	Sapindaceae	Acer	Acer saccharum	tree	NA	FALSE	FALSE	T
4039	Daucus carota	Apiaceae	Daucus	Daucus carota	herb	NA	FALSE	TRUE	FALSE
4166	Cymbalaria muralis	Plantaginaceae	Cymbalaria	Cymbalaria muralis	herb	NA	FALSE	TRUE	FALSE
4220	Artemisia vulgaris	Asteraceae	Artemisia	Artemisia vulgaris	herb	NA	FALSE	TRUE	FALSE
4265	Cynara cardunculus	Asteraceae	Cynara	Cynara cardunculus	herb	NA	FALSE	TRUE	TRUE
4283	Cornus florida	Cornaceae	Cornus	Cornus florida	shrub/tree	NA	FALSE	FALSE	T
4403	Platanus occidentalis	Platanaceae	Platanus	Platanus occidentalis	tree	NA	FALSE	FALSE	T
4412	Barclaya longifolia	Nymphaeaceae	Barclaya	Barclaya longifolia	herb	NA	FALSE	FALSE	T
4428	Ceratophyllum demersum	Ceratophyllaceae	Ceratophyllum	Ceratophyllum demersum	herb	aquatic	FALSE	TRUE	FALSE
4565	Triticum aestivum	Poaceae	Triticum	Triticum aestivum	graminoid	NA	FALSE	TRUE	TRUE
